[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 223340 + eval 14840 pairs)...
[hamroby-extract] step= 2400/15000 loss=0.1099 elapsed=67.4s
[hamroby-extract] step= 2450/15000 loss=0.1134 elapsed=69.0s
[hamroby-extract] step= 2500/15000 loss=0.1113 elapsed=70.6s
[hamroby-extract] step= 2550/15000 loss=0.1121 elapsed=72.0s
[hamroby-extract] step= 2600/15000 loss=0.1103 elapsed=73.5s
[hamroby-extract] step= 2650/15000 loss=0.1179 elapsed=74.8s
[hamroby-extract] step= 2700/15000 loss=0.1082 elapsed=76.0s
[hamroby-extract] step= 2750/15000 loss=0.1059 elapsed=77.3s
[hamroby-extract] step= 2800/15000 loss=0.1225 elapsed=78.5s
[hamroby-extract] step= 2850/15000 loss=0.1113 elapsed=79.8s
[hamroby-extract] step= 2900/15000 loss=0.0987 elapsed=81.1s
[hamroby-extract] step= 2950/15000 loss=0.1043 elapsed=82.5s
[hamroby-extract] step= 3000/15000 loss=0.0985 elapsed=83.9s
[hamroby-extract] step= 3050/15000 loss=0.1106 elapsed=85.5s
[hamroby-extract] step= 3100/15000 loss=0.1029 elapsed=87.1s
[hamroby-extract] step= 3150/15000 loss=0.1162 elapsed=88.8s
[hamroby-extract] step= 3200/15000 loss=0.1022 elapsed=90.2s
[hamroby-extract] step= 3250/15000 loss=0.1144 elapsed=91.5s
[hamroby-extract] step= 3300/15000 loss=0.0989 elapsed=92.9s
[hamroby-extract] step= 3350/15000 loss=0.1213 elapsed=94.3s
[hamroby-extract] step= 3400/15000 loss=0.0999 elapsed=95.7s
[hamroby-extract] step= 3450/15000 loss=0.1009 elapsed=97.1s
[hamroby-extract] step= 3500/15000 loss=0.1000 elapsed=98.6s
[hamroby-extract] step= 3550/15000 loss=0.1151 elapsed=100.3s
[hamroby-extract] step= 3600/15000 loss=0.1005 elapsed=101.9s
[hamroby-extract] step= 3650/15000 loss=0.1052 elapsed=103.4s
[hamroby-extract] step= 3700/15000 loss=0.1082 elapsed=104.7s
[hamroby-extract] step= 3750/15000 loss=0.1111 elapsed=106.1s
[hamroby-extract] step= 3800/15000 loss=0.1081 elapsed=107.4s
[hamroby-extract] step= 3850/15000 loss=0.1002 elapsed=108.7s
[hamroby-extract] step= 3900/15000 loss=0.1090 elapsed=110.1s
[hamroby-extract] step= 3950/15000 loss=0.1138 elapsed=111.6s
[hamroby-extract] step= 4000/15000 loss=0.1004 elapsed=113.1s
[hamroby-extract] step= 4050/15000 loss=0.0989 elapsed=114.8s
[hamroby-extract] step= 4100/15000 loss=0.1098 elapsed=116.3s
[hamroby-extract] step= 4150/15000 loss=0.1055 elapsed=118.1s
[hamroby-extract] step= 4200/15000 loss=0.0953 elapsed=119.4s
[hamroby-extract] step= 4250/15000 loss=0.1074 elapsed=120.8s
[hamroby-extract] step= 4300/15000 loss=0.0995 elapsed=122.1s
[hamroby-extract] step= 4350/15000 loss=0.1091 elapsed=123.4s
[hamroby-extract] step= 4400/15000 loss=0.1000 elapsed=124.7s
[hamroby-extract] step= 4450/15000 loss=0.1022 elapsed=125.9s
[hamroby-extract] step= 4500/15000 loss=0.1003 elapsed=127.3s
[hamroby-extract] step= 4550/15000 loss=0.0970 elapsed=128.7s
[hamroby-extract] step= 4600/15000 loss=0.1119 elapsed=130.0s
[hamroby-extract] step= 4650/15000 loss=0.1019 elapsed=131.5s
[hamroby-extract] step= 4700/15000 loss=0.1048 elapsed=132.9s
[hamroby-extract] step= 4750/15000 loss=0.0994 elapsed=134.4s
[hamroby-extract] step= 4800/15000 loss=0.0973 elapsed=136.0s
[hamroby-extract] step= 4850/15000 loss=0.0948 elapsed=137.3s
[hamroby-extract] step= 4900/15000 loss=0.1042 elapsed=138.6s
[hamroby-extract] step= 4950/15000 loss=0.1020 elapsed=140.0s
[hamroby-extract] step= 5000/15000 loss=0.0992 elapsed=141.7s
[hamroby-extract] step= 5050/15000 loss=0.0913 elapsed=143.2s
[hamroby-extract] step= 5100/15000 loss=0.0955 elapsed=144.6s
[hamroby-extract] step= 5150/15000 loss=0.1076 elapsed=146.0s
[hamroby-extract] step= 5200/15000 loss=0.0961 elapsed=147.3s
[hamroby-extract] step= 5250/15000 loss=0.0971 elapsed=148.6s
[hamroby-extract] step= 5300/15000 loss=0.1076 elapsed=149.9s
[hamroby-extract] step= 5350/15000 loss=0.0996 elapsed=151.1s
[hamroby-extract] step= 5400/15000 loss=0.1094 elapsed=152.6s
[hamroby-extract] step= 5450/15000 loss=0.1028 elapsed=154.1s
[hamroby-extract] step= 5500/15000 loss=0.0912 elapsed=155.8s
[hamroby-extract] step= 5550/15000 loss=0.1040 elapsed=157.3s
[hamroby-extract] step= 5600/15000 loss=0.0985 elapsed=158.6s
[hamroby-extract] step= 5650/15000 loss=0.0979 elapsed=160.0s
[hamroby-extract] step= 5700/15000 loss=0.1082 elapsed=161.3s
[hamroby-extract] step= 5750/15000 loss=0.0923 elapsed=162.6s
[hamroby-extract] step= 5800/15000 loss=0.1018 elapsed=163.9s
[hamroby-extract] step= 5850/15000 loss=0.0989 elapsed=165.3s
[hamroby-extract] step= 5900/15000 loss=0.0940 elapsed=166.8s
[hamroby-extract] step= 5950/15000 loss=0.1119 elapsed=168.3s
[hamroby-extract] step= 6000/15000 loss=0.0911 elapsed=170.1s
[hamroby-extract] step= 6050/15000 loss=0.0898 elapsed=172.0s
[hamroby-extract] step= 6100/15000 loss=0.1019 elapsed=173.4s
[hamroby-extract] step= 6150/15000 loss=0.1018 elapsed=174.6s
[hamroby-extract] step= 6200/15000 loss=0.0919 elapsed=175.9s
[hamroby-extract] step= 6250/15000 loss=0.0984 elapsed=177.3s
[hamroby-extract] step= 6300/15000 loss=0.1026 elapsed=178.8s
[hamroby-extract] step= 6350/15000 loss=0.0976 elapsed=180.2s
[hamroby-extract] step= 6400/15000 loss=0.0992 elapsed=181.7s
[hamroby-extract] step= 6450/15000 loss=0.1004 elapsed=183.1s
[hamroby-extract] step= 6500/15000 loss=0.1022 elapsed=184.4s
[hamroby-extract] step= 6550/15000 loss=0.0983 elapsed=185.7s
[hamroby-extract] step= 6600/15000 loss=0.1086 elapsed=187.0s
[hamroby-extract] step= 6650/15000 loss=0.1008 elapsed=188.4s
[hamroby-extract] step= 6700/15000 loss=0.1038 elapsed=189.6s
[hamroby-extract] step= 6750/15000 loss=0.1029 elapsed=190.9s
[hamroby-extract] step= 6800/15000 loss=0.0967 elapsed=192.1s
[hamroby-extract] step= 6850/15000 loss=0.1091 elapsed=193.5s
[hamroby-extract] step= 6900/15000 loss=0.0937 elapsed=195.1s
[hamroby-extract] step= 6950/15000 loss=0.1019 elapsed=196.8s
[hamroby-extract] step= 7000/15000 loss=0.0972 elapsed=198.3s
[hamroby-extract] step= 7050/15000 loss=0.1000 elapsed=199.9s
[hamroby-extract] step= 7100/15000 loss=0.1098 elapsed=201.3s
[hamroby-extract] step= 7150/15000 loss=0.1025 elapsed=202.6s
[hamroby-extract] step= 7200/15000 loss=0.0958 elapsed=203.9s
[hamroby-extract] step= 7250/15000 loss=0.0924 elapsed=205.3s
[hamroby-extract] step= 7300/15000 loss=0.0978 elapsed=206.7s
[hamroby-extract] step= 7350/15000 loss=0.0900 elapsed=208.1s
[hamroby-extract] step= 7400/15000 loss=0.0960 elapsed=209.8s
[hamroby-extract] step= 7450/15000 loss=0.0960 elapsed=211.2s
[hamroby-extract] step= 7500/15000 loss=0.0879 elapsed=212.5s
[hamroby-extract] step= 7550/15000 loss=0.0887 elapsed=213.8s
[hamroby-extract] step= 7600/15000 loss=0.0953 elapsed=215.1s
[hamroby-extract] step= 7650/15000 loss=0.0887 elapsed=216.4s
[hamroby-extract] step= 7700/15000 loss=0.0853 elapsed=217.8s
[hamroby-extract] step= 7750/15000 loss=0.0934 elapsed=219.4s
[hamroby-extract] step= 7800/15000 loss=0.1108 elapsed=221.0s
[hamroby-extract] step= 7850/15000 loss=0.1057 elapsed=222.8s
[hamroby-extract] step= 7900/15000 loss=0.0909 elapsed=224.3s
[hamroby-extract] step= 7950/15000 loss=0.0992 elapsed=225.8s
[hamroby-extract] step= 8000/15000 loss=0.1004 elapsed=227.2s
[hamroby-extract] step= 8050/15000 loss=0.1034 elapsed=228.5s
[hamroby-extract] step= 8100/15000 loss=0.1019 elapsed=229.9s
[hamroby-extract] step= 8150/15000 loss=0.1089 elapsed=231.3s
[hamroby-extract] step= 8200/15000 loss=0.0963 elapsed=232.7s
[hamroby-extract] step= 8250/15000 loss=0.0991 elapsed=234.0s
[hamroby-extract] step= 8300/15000 loss=0.1012 elapsed=235.4s
[hamroby-extract] step= 8350/15000 loss=0.0949 elapsed=236.9s
[hamroby-extract] step= 8400/15000 loss=0.0958 elapsed=238.1s
[hamroby-extract] step= 8450/15000 loss=0.0985 elapsed=239.4s
[hamroby-extract] step= 8500/15000 loss=0.0913 elapsed=240.7s
[hamroby-extract] step= 8550/15000 loss=0.1027 elapsed=241.9s
[hamroby-extract] step= 8600/15000 loss=0.0878 elapsed=243.6s
[hamroby-extract] step= 8650/15000 loss=0.0970 elapsed=245.2s
[hamroby-extract] step= 8700/15000 loss=0.0916 elapsed=246.7s
[hamroby-extract] step= 8750/15000 loss=0.0973 elapsed=248.3s
[hamroby-extract] step= 8800/15000 loss=0.0949 elapsed=249.7s
[hamroby-extract] step= 8850/15000 loss=0.0996 elapsed=251.0s
[hamroby-extract] step= 8900/15000 loss=0.0963 elapsed=252.2s
[hamroby-extract] step= 8950/15000 loss=0.0908 elapsed=253.5s
[hamroby-extract] step= 9000/15000 loss=0.0994 elapsed=254.7s
[hamroby-extract] step= 9050/15000 loss=0.0977 elapsed=256.0s
[hamroby-extract] step= 9100/15000 loss=0.0867 elapsed=257.3s
[hamroby-extract] step= 9150/15000 loss=0.0921 elapsed=258.6s
[hamroby-extract] step= 9200/15000 loss=0.0962 elapsed=260.0s
[hamroby-extract] step= 9250/15000 loss=0.0963 elapsed=261.4s
[hamroby-extract] step= 9300/15000 loss=0.0946 elapsed=262.8s
[hamroby-extract] step= 9350/15000 loss=0.0917 elapsed=264.2s
[hamroby-extract] step= 9400/15000 loss=0.0956 elapsed=265.6s
[hamroby-extract] step= 9450/15000 loss=0.0941 elapsed=267.0s
[hamroby-extract] step= 9500/15000 loss=0.1038 elapsed=268.4s
[hamroby-extract] step= 9550/15000 loss=0.0976 elapsed=269.9s
[hamroby-extract] step= 9600/15000 loss=0.0934 elapsed=271.4s
[hamroby-extract] step= 9650/15000 loss=0.0936 elapsed=272.9s
[hamroby-extract] step= 9700/15000 loss=0.0980 elapsed=274.9s
[hamroby-extract] step= 9750/15000 loss=0.0922 elapsed=276.6s
[hamroby-extract] step= 9800/15000 loss=0.0943 elapsed=277.9s
[hamroby-extract] step= 9850/15000 loss=0.1008 elapsed=279.2s
[hamroby-extract] step= 9900/15000 loss=0.0956 elapsed=280.6s
[hamroby-extract] step= 9950/15000 loss=0.0970 elapsed=282.1s
[hamroby-extract] step=10000/15000 loss=0.0890 elapsed=283.6s
[hamroby-extract] step=10050/15000 loss=0.0921 elapsed=285.1s
[hamroby-extract] step=10100/15000 loss=0.1036 elapsed=286.7s
