[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 222562 + eval 14754 pairs)...
[hamroby-extract] step= 2400/15000 loss=0.1130 elapsed=337.9s
[hamroby-extract] step= 2450/15000 loss=0.1074 elapsed=345.7s
[hamroby-extract] step= 2500/15000 loss=0.1094 elapsed=353.9s
[hamroby-extract] step= 2550/15000 loss=0.1110 elapsed=361.2s
[hamroby-extract] step= 2600/15000 loss=0.1156 elapsed=368.8s
[hamroby-extract] step= 2650/15000 loss=0.1066 elapsed=376.5s
[hamroby-extract] step= 2700/15000 loss=0.1175 elapsed=384.0s
[hamroby-extract] step= 2750/15000 loss=0.1031 elapsed=390.1s
[hamroby-extract] step= 2800/15000 loss=0.1162 elapsed=395.7s
[hamroby-extract] step= 2850/15000 loss=0.1100 elapsed=403.2s
[hamroby-extract] step= 2900/15000 loss=0.1095 elapsed=410.5s
[hamroby-extract] step= 2950/15000 loss=0.1039 elapsed=418.2s
[hamroby-extract] step= 3000/15000 loss=0.1071 elapsed=425.5s
[hamroby-extract] step= 3050/15000 loss=0.1089 elapsed=432.8s
[hamroby-extract] step= 3100/15000 loss=0.1183 elapsed=440.8s
[hamroby-extract] step= 3150/15000 loss=0.1043 elapsed=448.8s
[hamroby-extract] step= 3200/15000 loss=0.1040 elapsed=456.2s
[hamroby-extract] step= 3250/15000 loss=0.1043 elapsed=464.1s
[hamroby-extract] step= 3300/15000 loss=0.1024 elapsed=468.4s
[hamroby-extract] step= 3350/15000 loss=0.1109 elapsed=470.9s
[hamroby-extract] step= 3400/15000 loss=0.1087 elapsed=473.0s
[hamroby-extract] step= 3450/15000 loss=0.1074 elapsed=475.7s
[hamroby-extract] step= 3500/15000 loss=0.1108 elapsed=478.2s
[hamroby-extract] step= 3550/15000 loss=0.0983 elapsed=480.7s
[hamroby-extract] step= 3600/15000 loss=0.1054 elapsed=483.2s
[hamroby-extract] step= 3650/15000 loss=0.1125 elapsed=486.3s
[hamroby-extract] step= 3700/15000 loss=0.0991 elapsed=489.0s
[hamroby-extract] step= 3750/15000 loss=0.1060 elapsed=491.5s
[hamroby-extract] step= 3800/15000 loss=0.1050 elapsed=494.0s
[hamroby-extract] step= 3850/15000 loss=0.1023 elapsed=496.8s
[hamroby-extract] step= 3900/15000 loss=0.1120 elapsed=499.8s
[hamroby-extract] step= 3950/15000 loss=0.1017 elapsed=502.6s
[hamroby-extract] step= 4000/15000 loss=0.1008 elapsed=505.3s
[hamroby-extract] step= 4050/15000 loss=0.1133 elapsed=507.9s
[hamroby-extract] step= 4100/15000 loss=0.1035 elapsed=510.4s
[hamroby-extract] step= 4150/15000 loss=0.0990 elapsed=512.9s
[hamroby-extract] step= 4200/15000 loss=0.1001 elapsed=515.5s
[hamroby-extract] step= 4250/15000 loss=0.1020 elapsed=517.9s
[hamroby-extract] step= 4300/15000 loss=0.1131 elapsed=520.4s
[hamroby-extract] step= 4350/15000 loss=0.1145 elapsed=522.9s
[hamroby-extract] step= 4400/15000 loss=0.1036 elapsed=525.8s
[hamroby-extract] step= 4450/15000 loss=0.0978 elapsed=528.6s
[hamroby-extract] step= 4500/15000 loss=0.1035 elapsed=531.1s
[hamroby-extract] step= 4550/15000 loss=0.1016 elapsed=533.6s
[hamroby-extract] step= 4600/15000 loss=0.0911 elapsed=536.3s
[hamroby-extract] step= 4650/15000 loss=0.0949 elapsed=538.7s
[hamroby-extract] step= 4700/15000 loss=0.1024 elapsed=541.3s
[hamroby-extract] step= 4750/15000 loss=0.0939 elapsed=544.0s
[hamroby-extract] step= 4800/15000 loss=0.1115 elapsed=546.4s
[hamroby-extract] step= 4850/15000 loss=0.1005 elapsed=548.8s
[hamroby-extract] step= 4900/15000 loss=0.0884 elapsed=551.3s
[hamroby-extract] step= 4950/15000 loss=0.0967 elapsed=553.7s
[hamroby-extract] step= 5000/15000 loss=0.0922 elapsed=556.4s
[hamroby-extract] step= 5050/15000 loss=0.1054 elapsed=559.2s
[hamroby-extract] step= 5100/15000 loss=0.1033 elapsed=561.6s
[hamroby-extract] step= 5150/15000 loss=0.1004 elapsed=564.0s
[hamroby-extract] step= 5200/15000 loss=0.1001 elapsed=566.4s
[hamroby-extract] step= 5250/15000 loss=0.1009 elapsed=569.0s
[hamroby-extract] step= 5300/15000 loss=0.1096 elapsed=571.6s
[hamroby-extract] step= 5350/15000 loss=0.1021 elapsed=574.3s
[hamroby-extract] step= 5400/15000 loss=0.0949 elapsed=576.7s
[hamroby-extract] step= 5450/15000 loss=0.1053 elapsed=579.1s
[hamroby-extract] step= 5500/15000 loss=0.1004 elapsed=581.7s
[hamroby-extract] step= 5550/15000 loss=0.1104 elapsed=584.4s
[hamroby-extract] step= 5600/15000 loss=0.0975 elapsed=587.0s
[hamroby-extract] step= 5650/15000 loss=0.0920 elapsed=589.5s
[hamroby-extract] step= 5700/15000 loss=0.0952 elapsed=591.9s
[hamroby-extract] step= 5750/15000 loss=0.0980 elapsed=594.6s
[hamroby-extract] step= 5800/15000 loss=0.1012 elapsed=597.1s
[hamroby-extract] step= 5850/15000 loss=0.0945 elapsed=599.8s
[hamroby-extract] step= 5900/15000 loss=0.1073 elapsed=602.5s
[hamroby-extract] step= 5950/15000 loss=0.0985 elapsed=605.1s
[hamroby-extract] step= 6000/15000 loss=0.0985 elapsed=607.5s
[hamroby-extract] step= 6050/15000 loss=0.0938 elapsed=609.9s
[hamroby-extract] step= 6100/15000 loss=0.1053 elapsed=612.6s
[hamroby-extract] step= 6150/15000 loss=0.1012 elapsed=615.2s
[hamroby-extract] step= 6200/15000 loss=0.0919 elapsed=617.7s
[hamroby-extract] step= 6250/15000 loss=0.1005 elapsed=620.2s
[hamroby-extract] step= 6300/15000 loss=0.1012 elapsed=622.6s
[hamroby-extract] step= 6350/15000 loss=0.1023 elapsed=625.2s
[hamroby-extract] step= 6400/15000 loss=0.0800 elapsed=628.0s
[hamroby-extract] step= 6450/15000 loss=0.1019 elapsed=630.5s
[hamroby-extract] step= 6500/15000 loss=0.0881 elapsed=633.1s
[hamroby-extract] step= 6550/15000 loss=0.0972 elapsed=635.9s
[hamroby-extract] step= 6600/15000 loss=0.0822 elapsed=638.5s
[hamroby-extract] step= 6650/15000 loss=0.0970 elapsed=640.8s
[hamroby-extract] step= 6700/15000 loss=0.0966 elapsed=643.3s
[hamroby-extract] step= 6750/15000 loss=0.0977 elapsed=645.8s
[hamroby-extract] step= 6800/15000 loss=0.0933 elapsed=648.5s
[hamroby-extract] step= 6850/15000 loss=0.1090 elapsed=651.1s
[hamroby-extract] step= 6900/15000 loss=0.0948 elapsed=653.5s
[hamroby-extract] step= 6950/15000 loss=0.0982 elapsed=655.9s
[hamroby-extract] step= 7000/15000 loss=0.0927 elapsed=658.4s
[hamroby-extract] step= 7050/15000 loss=0.0903 elapsed=660.9s
[hamroby-extract] step= 7100/15000 loss=0.0940 elapsed=663.5s
[hamroby-extract] step= 7150/15000 loss=0.0893 elapsed=665.9s
[hamroby-extract] step= 7200/15000 loss=0.0935 elapsed=668.4s
[hamroby-extract] step= 7250/15000 loss=0.1025 elapsed=670.8s
[hamroby-extract] step= 7300/15000 loss=0.0986 elapsed=673.4s
[hamroby-extract] step= 7350/15000 loss=0.1036 elapsed=676.1s
[hamroby-extract] step= 7400/15000 loss=0.1064 elapsed=678.6s
[hamroby-extract] step= 7450/15000 loss=0.0887 elapsed=681.1s
[hamroby-extract] step= 7500/15000 loss=0.0867 elapsed=683.6s
[hamroby-extract] step= 7550/15000 loss=0.1009 elapsed=686.3s
[hamroby-extract] step= 7600/15000 loss=0.0964 elapsed=689.0s
[hamroby-extract] step= 7650/15000 loss=0.0948 elapsed=691.4s
[hamroby-extract] step= 7700/15000 loss=0.0943 elapsed=693.8s
[hamroby-extract] step= 7750/15000 loss=0.0955 elapsed=696.3s
[hamroby-extract] step= 7800/15000 loss=0.0902 elapsed=698.9s
[hamroby-extract] step= 7850/15000 loss=0.1018 elapsed=701.6s
[hamroby-extract] step= 7900/15000 loss=0.0997 elapsed=704.0s
[hamroby-extract] step= 7950/15000 loss=0.0932 elapsed=706.4s
[hamroby-extract] step= 8000/15000 loss=0.0958 elapsed=708.9s
[hamroby-extract] step= 8050/15000 loss=0.1082 elapsed=711.4s
[hamroby-extract] step= 8100/15000 loss=0.0980 elapsed=713.9s
[hamroby-extract] step= 8150/15000 loss=0.0968 elapsed=716.5s
[hamroby-extract] step= 8200/15000 loss=0.1012 elapsed=719.3s
[hamroby-extract] step= 8250/15000 loss=0.0952 elapsed=721.7s
[hamroby-extract] step= 8300/15000 loss=0.0998 elapsed=724.1s
[hamroby-extract] step= 8350/15000 loss=0.0921 elapsed=726.6s
[hamroby-extract] step= 8400/15000 loss=0.0963 elapsed=728.9s
[hamroby-extract] step= 8450/15000 loss=0.0957 elapsed=731.3s
[hamroby-extract] step= 8500/15000 loss=0.0892 elapsed=733.7s
[hamroby-extract] step= 8550/15000 loss=0.0979 elapsed=736.5s
[hamroby-extract] step= 8600/15000 loss=0.0914 elapsed=739.2s
[hamroby-extract] step= 8650/15000 loss=0.0943 elapsed=741.7s
[hamroby-extract] step= 8700/15000 loss=0.0925 elapsed=744.2s
[hamroby-extract] step= 8750/15000 loss=0.0918 elapsed=746.6s
[hamroby-extract] step= 8800/15000 loss=0.0962 elapsed=749.2s
[hamroby-extract] step= 8850/15000 loss=0.1026 elapsed=751.9s
[hamroby-extract] step= 8900/15000 loss=0.0938 elapsed=754.3s
[hamroby-extract] step= 8950/15000 loss=0.0984 elapsed=756.7s
[hamroby-extract] step= 9000/15000 loss=0.0903 elapsed=759.1s
[hamroby-extract] step= 9050/15000 loss=0.0964 elapsed=761.6s
[hamroby-extract] step= 9100/15000 loss=0.0915 elapsed=764.2s
[hamroby-extract] step= 9150/15000 loss=0.0949 elapsed=766.9s
[hamroby-extract] step= 9200/15000 loss=0.1024 elapsed=769.4s
[hamroby-extract] step= 9250/15000 loss=0.0928 elapsed=772.1s
[hamroby-extract] step= 9300/15000 loss=0.1015 elapsed=774.6s
[hamroby-extract] step= 9350/15000 loss=0.0983 elapsed=777.2s
[hamroby-extract] step= 9400/15000 loss=0.0929 elapsed=779.8s
[hamroby-extract] step= 9450/15000 loss=0.0912 elapsed=782.6s
[hamroby-extract] step= 9500/15000 loss=0.0955 elapsed=785.5s
[hamroby-extract] step= 9550/15000 loss=0.0933 elapsed=788.2s
[hamroby-extract] step= 9600/15000 loss=0.0926 elapsed=790.7s
[hamroby-extract] step= 9650/15000 loss=0.0989 elapsed=793.1s
[hamroby-extract] step= 9700/15000 loss=0.0946 elapsed=796.2s
[hamroby-extract] step= 9750/15000 loss=0.0968 elapsed=799.5s
[hamroby-extract] step= 9800/15000 loss=0.0882 elapsed=806.7s
[hamroby-extract] step= 9850/15000 loss=0.0904 elapsed=815.1s
[hamroby-extract] step= 9900/15000 loss=0.0948 elapsed=822.7s
[hamroby-extract] step= 9950/15000 loss=0.0960 elapsed=827.6s
[hamroby-extract] step=10000/15000 loss=0.0936 elapsed=834.4s
[hamroby-extract] step=10050/15000 loss=0.0888 elapsed=841.7s
[hamroby-extract] step=10100/15000 loss=0.0939 elapsed=848.7s
[hamroby-extract] step=10150/15000 loss=0.0916 elapsed=856.0s
[hamroby-extract] step=10200/15000 loss=0.1049 elapsed=863.1s
[hamroby-extract] step=10250/15000 loss=0.0945 elapsed=870.0s
[hamroby-extract] step=10300/15000 loss=0.0932 elapsed=877.6s
[hamroby-extract] step=10350/15000 loss=0.1037 elapsed=884.9s
[hamroby-extract] step=10400/15000 loss=0.0964 elapsed=892.0s
[hamroby-extract] step=10450/15000 loss=0.0939 elapsed=899.1s
[hamroby-extract] step=10500/15000 loss=0.0902 elapsed=906.4s
[hamroby-extract] step=10550/15000 loss=0.0865 elapsed=913.6s
[hamroby-extract] step=10600/15000 loss=0.0975 elapsed=921.0s
[hamroby-extract] step=10650/15000 loss=0.0919 elapsed=928.8s
[hamroby-extract] step=10700/15000 loss=0.0846 elapsed=936.5s
[hamroby-extract] step=10750/15000 loss=0.0983 elapsed=944.3s
[hamroby-extract] step=10800/15000 loss=0.0951 elapsed=951.9s
[hamroby-extract] step=10850/15000 loss=0.0974 elapsed=959.6s
[hamroby-extract] step=10900/15000 loss=0.0976 elapsed=967.0s
[hamroby-extract] step=10950/15000 loss=0.0912 elapsed=974.3s
[hamroby-extract] step=11000/15000 loss=0.0965 elapsed=981.4s
[hamroby-extract] step=11050/15000 loss=0.0935 elapsed=989.5s
[hamroby-extract] step=11100/15000 loss=0.0840 elapsed=996.7s
[hamroby-extract] step=11150/15000 loss=0.0929 elapsed=1004.2s
