[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 229915 + eval 15387 pairs)...
[hamroby-extract] train 5000/229915 (416/s, eta 540s, kept 5000)
[hamroby-extract] train 10000/229915 (412/s, eta 534s, kept 10000)
[hamroby-extract] train 15000/229915 (414/s, eta 520s, kept 15000)
[hamroby-extract] train 20000/229915 (415/s, eta 506s, kept 20000)
[hamroby-extract] train 25000/229915 (416/s, eta 493s, kept 25000)
[hamroby-extract] train 30000/229915 (412/s, eta 485s, kept 30000)
[hamroby-extract] train 35000/229915 (411/s, eta 474s, kept 35000)
[hamroby-extract] train 40000/229915 (410/s, eta 463s, kept 40000)
[hamroby-extract] train 45000/229915 (410/s, eta 451s, kept 45000)
[hamroby-extract] train 50000/229915 (410/s, eta 439s, kept 50000)
[hamroby-extract] train 55000/229915 (410/s, eta 427s, kept 55000)
[hamroby-extract] train 60000/229915 (410/s, eta 414s, kept 60000)
[hamroby-extract] train 65000/229915 (411/s, eta 401s, kept 65000)
[hamroby-extract] train 70000/229915 (411/s, eta 389s, kept 70000)
[hamroby-extract] train 75000/229915 (411/s, eta 377s, kept 75000)
[hamroby-extract] train 80000/229915 (411/s, eta 365s, kept 80000)
[hamroby-extract] train 85000/229915 (410/s, eta 353s, kept 85000)
[hamroby-extract] train 90000/229915 (410/s, eta 341s, kept 90000)
[hamroby-extract] train 95000/229915 (410/s, eta 329s, kept 95000)
[hamroby-extract] train 100000/229915 (410/s, eta 317s, kept 100000)
[hamroby-extract] train 105000/229915 (410/s, eta 305s, kept 105000)
[hamroby-extract] train 110000/229915 (410/s, eta 292s, kept 110000)
[hamroby-extract] train 115000/229915 (410/s, eta 280s, kept 115000)
[hamroby-extract] train 120000/229915 (410/s, eta 268s, kept 120000)
[hamroby-extract] train 125000/229915 (410/s, eta 256s, kept 125000)
[hamroby-extract] train 130000/229915 (410/s, eta 244s, kept 130000)
[hamroby-extract] train 135000/229915 (410/s, eta 231s, kept 135000)
[hamroby-extract] train 140000/229915 (410/s, eta 219s, kept 140000)
[hamroby-extract] train 145000/229915 (409/s, eta 207s, kept 145000)
[hamroby-extract] train 150000/229915 (410/s, eta 195s, kept 150000)
[hamroby-extract] train 155000/229915 (410/s, eta 183s, kept 155000)
[hamroby-extract] train 160000/229915 (410/s, eta 171s, kept 160000)
[hamroby-extract] train 165000/229915 (410/s, eta 158s, kept 165000)
[hamroby-extract] train 170000/229915 (409/s, eta 146s, kept 170000)
[hamroby-extract] train 175000/229915 (409/s, eta 134s, kept 175000)
[hamroby-extract] train 180000/229915 (409/s, eta 122s, kept 180000)
[hamroby-extract] train 185000/229915 (409/s, eta 110s, kept 185000)
[hamroby-extract] train 190000/229915 (409/s, eta 98s, kept 190000)
[hamroby-extract] train 195000/229915 (409/s, eta 85s, kept 195000)
[hamroby-extract] train 200000/229915 (409/s, eta 73s, kept 200000)
[hamroby-extract] train 205000/229915 (409/s, eta 61s, kept 205000)
[hamroby-extract] train 210000/229915 (409/s, eta 49s, kept 210000)
[hamroby-extract] train 215000/229915 (408/s, eta 37s, kept 215000)
[hamroby-extract] train 220000/229915 (408/s, eta 24s, kept 220000)
[hamroby-extract] train 225000/229915 (408/s, eta 12s, kept 225000)
[hamroby-extract] train 229915/229915 (408/s, eta 0s, kept 229915)
[hamroby-extract] eval 5000/15387 (408/s, eta 25s, kept 5000)
[hamroby-extract] eval 10000/15387 (409/s, eta 13s, kept 10000)
[hamroby-extract] eval 15000/15387 (408/s, eta 1s, kept 15000)
[hamroby-extract] eval 15387/15387 (408/s, eta 0s, kept 15387)
[hamroby-extract] usable train_examples=229915 eval_examples=15387
[hamroby-extract] size=base d_model=256 n_layers=4 params=3,337,895
[hamroby-extract] step=    1/15000 loss=1.9394 elapsed=0.5s
[hamroby-extract] step=   50/15000 loss=0.9170 elapsed=1.9s
[hamroby-extract] step=  100/15000 loss=0.3970 elapsed=3.3s
[hamroby-extract] step=  150/15000 loss=0.2504 elapsed=4.8s
[hamroby-extract] step=  200/15000 loss=0.2233 elapsed=6.2s
[hamroby-extract] step=  250/15000 loss=0.1948 elapsed=7.6s
[hamroby-extract] step=  300/15000 loss=0.1784 elapsed=8.9s
[hamroby-extract] step=  350/15000 loss=0.1781 elapsed=10.3s
[hamroby-extract] step=  400/15000 loss=0.1557 elapsed=11.8s
[hamroby-extract] step=  450/15000 loss=0.1602 elapsed=13.0s
[hamroby-extract] step=  500/15000 loss=0.1460 elapsed=14.3s
[hamroby-extract] step=  550/15000 loss=0.1385 elapsed=15.5s
[hamroby-extract] step=  600/15000 loss=0.1427 elapsed=16.7s
[hamroby-extract] step=  650/15000 loss=0.1391 elapsed=18.6s
[hamroby-extract] step=  700/15000 loss=0.1479 elapsed=20.3s
[hamroby-extract] step=  750/15000 loss=0.1354 elapsed=21.7s
[hamroby-extract] step=  800/15000 loss=0.1299 elapsed=23.2s
[hamroby-extract] step=  850/15000 loss=0.1355 elapsed=24.8s
[hamroby-extract] step=  900/15000 loss=0.1426 elapsed=26.3s
[hamroby-extract] step=  950/15000 loss=0.1267 elapsed=27.6s
[hamroby-extract] step= 1000/15000 loss=0.1307 elapsed=29.2s
[hamroby-extract] step= 1050/15000 loss=0.1394 elapsed=30.5s
[hamroby-extract] step= 1100/15000 loss=0.1298 elapsed=31.8s
[hamroby-extract] step= 1150/15000 loss=0.1196 elapsed=33.2s
[hamroby-extract] step= 1200/15000 loss=0.1217 elapsed=34.7s
[hamroby-extract] step= 1250/15000 loss=0.1242 elapsed=36.2s
[hamroby-extract] step= 1300/15000 loss=0.1202 elapsed=37.8s
[hamroby-extract] step= 1350/15000 loss=0.1184 elapsed=39.3s
[hamroby-extract] step= 1400/15000 loss=0.1273 elapsed=40.7s
[hamroby-extract] step= 1450/15000 loss=0.1226 elapsed=42.1s
[hamroby-extract] step= 1500/15000 loss=0.1207 elapsed=43.5s
[hamroby-extract] step= 1550/15000 loss=0.1232 elapsed=45.2s
[hamroby-extract] step= 1600/15000 loss=0.1234 elapsed=46.7s
[hamroby-extract] step= 1650/15000 loss=0.1261 elapsed=48.3s
[hamroby-extract] step= 1700/15000 loss=0.1163 elapsed=49.8s
[hamroby-extract] step= 1750/15000 loss=0.1231 elapsed=51.4s
[hamroby-extract] step= 1800/15000 loss=0.1082 elapsed=52.8s
[hamroby-extract] step= 1850/15000 loss=0.1173 elapsed=54.2s
[hamroby-extract] step= 1900/15000 loss=0.1150 elapsed=55.5s
[hamroby-extract] step= 1950/15000 loss=0.1099 elapsed=56.9s
[hamroby-extract] step= 2000/15000 loss=0.1126 elapsed=58.3s
[hamroby-extract] step= 2050/15000 loss=0.1163 elapsed=59.7s
[hamroby-extract] step= 2100/15000 loss=0.1246 elapsed=61.1s
[hamroby-extract] step= 2150/15000 loss=0.1317 elapsed=62.6s
[hamroby-extract] step= 2200/15000 loss=0.1251 elapsed=64.0s
[hamroby-extract] step= 2250/15000 loss=0.1128 elapsed=65.6s
[hamroby-extract] step= 2300/15000 loss=0.0990 elapsed=67.0s
[hamroby-extract] step= 2350/15000 loss=0.1080 elapsed=68.3s
[hamroby-extract] step= 2400/15000 loss=0.1083 elapsed=69.7s
[hamroby-extract] step= 2450/15000 loss=0.1160 elapsed=71.4s
