[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 208662 + eval 13933 pairs)...
[hamroby-extract] train 5000/208662 (410/s, eta 497s, kept 5000)
[hamroby-extract] train 10000/208662 (399/s, eta 498s, kept 10000)
[hamroby-extract] train 15000/208662 (401/s, eta 483s, kept 15000)
[hamroby-extract] train 20000/208662 (403/s, eta 468s, kept 20000)
[hamroby-extract] train 25000/208662 (404/s, eta 455s, kept 25000)
[hamroby-extract] train 30000/208662 (405/s, eta 442s, kept 30000)
[hamroby-extract] train 35000/208662 (405/s, eta 429s, kept 35000)
[hamroby-extract] train 40000/208662 (403/s, eta 418s, kept 40000)
[hamroby-extract] train 45000/208662 (404/s, eta 405s, kept 45000)
[hamroby-extract] train 50000/208662 (404/s, eta 393s, kept 50000)
[hamroby-extract] train 55000/208662 (404/s, eta 380s, kept 55000)
[hamroby-extract] train 60000/208662 (405/s, eta 368s, kept 60000)
[hamroby-extract] train 65000/208662 (403/s, eta 356s, kept 65000)
[hamroby-extract] train 70000/208662 (404/s, eta 343s, kept 70000)
[hamroby-extract] train 75000/208662 (404/s, eta 331s, kept 75000)
[hamroby-extract] train 80000/208662 (404/s, eta 318s, kept 80000)
[hamroby-extract] train 85000/208662 (404/s, eta 306s, kept 85000)
[hamroby-extract] train 90000/208662 (404/s, eta 293s, kept 90000)
[hamroby-extract] train 95000/208662 (404/s, eta 281s, kept 95000)
[hamroby-extract] train 100000/208662 (404/s, eta 269s, kept 100000)
[hamroby-extract] train 105000/208662 (404/s, eta 256s, kept 105000)
[hamroby-extract] train 110000/208662 (405/s, eta 244s, kept 110000)
[hamroby-extract] train 115000/208662 (405/s, eta 232s, kept 115000)
[hamroby-extract] train 120000/208662 (405/s, eta 219s, kept 120000)
[hamroby-extract] train 125000/208662 (405/s, eta 207s, kept 125000)
[hamroby-extract] train 130000/208662 (405/s, eta 194s, kept 130000)
[hamroby-extract] train 135000/208662 (405/s, eta 182s, kept 135000)
[hamroby-extract] train 140000/208662 (405/s, eta 170s, kept 140000)
[hamroby-extract] train 145000/208662 (405/s, eta 157s, kept 145000)
[hamroby-extract] train 150000/208662 (405/s, eta 145s, kept 150000)
[hamroby-extract] train 155000/208662 (405/s, eta 133s, kept 155000)
[hamroby-extract] train 160000/208662 (405/s, eta 120s, kept 160000)
[hamroby-extract] train 165000/208662 (405/s, eta 108s, kept 165000)
[hamroby-extract] train 170000/208662 (405/s, eta 95s, kept 170000)
[hamroby-extract] train 175000/208662 (405/s, eta 83s, kept 175000)
[hamroby-extract] train 180000/208662 (405/s, eta 71s, kept 180000)
[hamroby-extract] train 185000/208662 (405/s, eta 58s, kept 185000)
[hamroby-extract] train 190000/208662 (405/s, eta 46s, kept 190000)
[hamroby-extract] train 195000/208662 (405/s, eta 34s, kept 195000)
[hamroby-extract] train 200000/208662 (405/s, eta 21s, kept 200000)
[hamroby-extract] train 205000/208662 (405/s, eta 9s, kept 205000)
[hamroby-extract] train 208662/208662 (405/s, eta 0s, kept 208662)
[hamroby-extract] eval 5000/13933 (406/s, eta 22s, kept 5000)
[hamroby-extract] eval 10000/13933 (406/s, eta 10s, kept 10000)
[hamroby-extract] eval 13933/13933 (404/s, eta 0s, kept 13933)
[hamroby-extract] usable train_examples=208662 eval_examples=13933
[hamroby-extract] size=base d_model=256 n_layers=4 params=3,337,895
[hamroby-extract] step=    1/15000 loss=1.9407 elapsed=0.6s
[hamroby-extract] step=   50/15000 loss=0.9209 elapsed=1.9s
[hamroby-extract] step=  100/15000 loss=0.3744 elapsed=3.2s
[hamroby-extract] step=  150/15000 loss=0.2725 elapsed=4.6s
[hamroby-extract] step=  200/15000 loss=0.2049 elapsed=6.1s
[hamroby-extract] step=  250/15000 loss=0.1776 elapsed=7.5s
[hamroby-extract] step=  300/15000 loss=0.1635 elapsed=8.8s
[hamroby-extract] step=  350/15000 loss=0.1726 elapsed=10.3s
[hamroby-extract] step=  400/15000 loss=0.1529 elapsed=11.5s
[hamroby-extract] step=  450/15000 loss=0.1534 elapsed=12.7s
[hamroby-extract] step=  500/15000 loss=0.1408 elapsed=14.0s
[hamroby-extract] step=  550/15000 loss=0.1450 elapsed=15.2s
[hamroby-extract] step=  600/15000 loss=0.1458 elapsed=16.6s
[hamroby-extract] step=  650/15000 loss=0.1294 elapsed=18.0s
[hamroby-extract] step=  700/15000 loss=0.1356 elapsed=19.4s
[hamroby-extract] step=  750/15000 loss=0.1288 elapsed=20.8s
[hamroby-extract] step=  800/15000 loss=0.1246 elapsed=22.1s
[hamroby-extract] step=  850/15000 loss=0.1309 elapsed=23.5s
[hamroby-extract] step=  900/15000 loss=0.1297 elapsed=25.0s
[hamroby-extract] step=  950/15000 loss=0.1181 elapsed=26.3s
[hamroby-extract] step= 1000/15000 loss=0.1252 elapsed=27.7s
[hamroby-extract] step= 1050/15000 loss=0.1144 elapsed=29.0s
[hamroby-extract] step= 1100/15000 loss=0.1231 elapsed=30.4s
[hamroby-extract] step= 1150/15000 loss=0.1215 elapsed=31.6s
[hamroby-extract] step= 1200/15000 loss=0.1191 elapsed=32.9s
[hamroby-extract] step= 1250/15000 loss=0.1333 elapsed=34.4s
[hamroby-extract] step= 1300/15000 loss=0.1179 elapsed=35.6s
[hamroby-extract] step= 1350/15000 loss=0.1233 elapsed=36.9s
[hamroby-extract] step= 1400/15000 loss=0.1123 elapsed=38.3s
[hamroby-extract] step= 1450/15000 loss=0.1208 elapsed=39.6s
[hamroby-extract] step= 1500/15000 loss=0.1114 elapsed=40.9s
[hamroby-extract] step= 1550/15000 loss=0.1110 elapsed=42.3s
[hamroby-extract] step= 1600/15000 loss=0.1073 elapsed=43.7s
[hamroby-extract] step= 1650/15000 loss=0.1151 elapsed=45.1s
[hamroby-extract] step= 1700/15000 loss=0.1085 elapsed=46.5s
[hamroby-extract] step= 1750/15000 loss=0.1173 elapsed=47.9s
[hamroby-extract] step= 1800/15000 loss=0.1169 elapsed=49.3s
[hamroby-extract] step= 1850/15000 loss=0.1154 elapsed=50.7s
[hamroby-extract] step= 1900/15000 loss=0.1025 elapsed=52.0s
[hamroby-extract] step= 1950/15000 loss=0.1178 elapsed=53.2s
[hamroby-extract] step= 2000/15000 loss=0.1082 elapsed=54.5s
[hamroby-extract] step= 2050/15000 loss=0.1178 elapsed=55.8s
[hamroby-extract] step= 2100/15000 loss=0.1139 elapsed=57.0s
[hamroby-extract] step= 2150/15000 loss=0.1180 elapsed=58.3s
[hamroby-extract] step= 2200/15000 loss=0.1100 elapsed=59.5s
[hamroby-extract] step= 2250/15000 loss=0.0972 elapsed=60.9s
[hamroby-extract] step= 2300/15000 loss=0.1321 elapsed=62.1s
[hamroby-extract] step= 2350/15000 loss=0.0954 elapsed=63.4s
[hamroby-extract] step= 2400/15000 loss=0.1095 elapsed=64.7s
[hamroby-extract] step= 2450/15000 loss=0.1138 elapsed=65.9s
[hamroby-extract] step= 2500/15000 loss=0.1080 elapsed=67.1s
[hamroby-extract] step= 2550/15000 loss=0.1204 elapsed=68.3s
[hamroby-extract] step= 2600/15000 loss=0.0948 elapsed=69.5s
[hamroby-extract] step= 2650/15000 loss=0.1139 elapsed=70.8s
[hamroby-extract] step= 2700/15000 loss=0.1090 elapsed=72.1s
[hamroby-extract] step= 2750/15000 loss=0.1214 elapsed=73.4s
[hamroby-extract] step= 2800/15000 loss=0.1064 elapsed=74.7s
[hamroby-extract] step= 2850/15000 loss=0.0980 elapsed=76.0s
[hamroby-extract] step= 2900/15000 loss=0.1132 elapsed=77.2s
[hamroby-extract] step= 2950/15000 loss=0.1006 elapsed=78.4s
[hamroby-extract] step= 3000/15000 loss=0.1054 elapsed=79.6s
[hamroby-extract] step= 3050/15000 loss=0.1085 elapsed=81.0s
[hamroby-extract] step= 3100/15000 loss=0.1103 elapsed=82.4s
[hamroby-extract] step= 3150/15000 loss=0.1035 elapsed=84.1s
[hamroby-extract] step= 3200/15000 loss=0.0968 elapsed=85.6s
[hamroby-extract] step= 3250/15000 loss=0.1120 elapsed=86.9s
[hamroby-extract] step= 3300/15000 loss=0.1075 elapsed=88.5s
[hamroby-extract] step= 3350/15000 loss=0.1103 elapsed=89.7s
[hamroby-extract] step= 3400/15000 loss=0.1141 elapsed=91.0s
[hamroby-extract] step= 3450/15000 loss=0.1063 elapsed=92.2s
[hamroby-extract] step= 3500/15000 loss=0.1031 elapsed=93.4s
[hamroby-extract] step= 3550/15000 loss=0.0992 elapsed=94.7s
[hamroby-extract] step= 3600/15000 loss=0.1152 elapsed=95.9s
[hamroby-extract] step= 3650/15000 loss=0.0979 elapsed=97.2s
[hamroby-extract] step= 3700/15000 loss=0.1067 elapsed=98.4s
[hamroby-extract] step= 3750/15000 loss=0.1054 elapsed=99.6s
[hamroby-extract] step= 3800/15000 loss=0.1088 elapsed=100.9s
[hamroby-extract] step= 3850/15000 loss=0.1024 elapsed=102.2s
[hamroby-extract] step= 3900/15000 loss=0.1041 elapsed=103.6s
