[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 209336 + eval 13753 pairs)...
[hamroby-extract] step= 2250/15000 loss=0.1136 elapsed=64.8s
[hamroby-extract] step= 2300/15000 loss=0.1138 elapsed=66.4s
[hamroby-extract] step= 2350/15000 loss=0.1120 elapsed=68.2s
[hamroby-extract] step= 2400/15000 loss=0.1236 elapsed=69.6s
[hamroby-extract] step= 2450/15000 loss=0.1142 elapsed=71.0s
[hamroby-extract] step= 2500/15000 loss=0.1191 elapsed=72.5s
[hamroby-extract] step= 2550/15000 loss=0.1015 elapsed=74.2s
[hamroby-extract] step= 2600/15000 loss=0.1207 elapsed=75.7s
[hamroby-extract] step= 2650/15000 loss=0.1107 elapsed=77.4s
[hamroby-extract] step= 2700/15000 loss=0.1076 elapsed=78.8s
[hamroby-extract] step= 2750/15000 loss=0.1035 elapsed=80.2s
[hamroby-extract] step= 2800/15000 loss=0.1178 elapsed=81.4s
[hamroby-extract] step= 2850/15000 loss=0.1249 elapsed=83.0s
[hamroby-extract] step= 2900/15000 loss=0.1061 elapsed=84.5s
[hamroby-extract] step= 2950/15000 loss=0.1164 elapsed=86.0s
[hamroby-extract] step= 3000/15000 loss=0.1109 elapsed=87.6s
[hamroby-extract] step= 3050/15000 loss=0.1058 elapsed=89.1s
[hamroby-extract] step= 3100/15000 loss=0.1073 elapsed=90.6s
[hamroby-extract] step= 3150/15000 loss=0.1018 elapsed=91.9s
[hamroby-extract] step= 3200/15000 loss=0.1078 elapsed=93.3s
[hamroby-extract] step= 3250/15000 loss=0.1010 elapsed=94.6s
[hamroby-extract] step= 3300/15000 loss=0.1008 elapsed=96.0s
[hamroby-extract] step= 3350/15000 loss=0.1103 elapsed=97.5s
[hamroby-extract] step= 3400/15000 loss=0.1039 elapsed=99.1s
[hamroby-extract] step= 3450/15000 loss=0.1081 elapsed=100.6s
[hamroby-extract] step= 3500/15000 loss=0.1051 elapsed=102.0s
[hamroby-extract] step= 3550/15000 loss=0.1026 elapsed=103.3s
[hamroby-extract] step= 3600/15000 loss=0.1050 elapsed=104.6s
