[hamroby-extract] device=cuda
[hamroby-extract] generating features (train 230213 + eval 15559 pairs)...
[hamroby-extract] step= 2550/15000 loss=0.1244 elapsed=72.3s
[hamroby-extract] step= 2600/15000 loss=0.1142 elapsed=73.5s
[hamroby-extract] step= 2650/15000 loss=0.1106 elapsed=74.9s
[hamroby-extract] step= 2700/15000 loss=0.1163 elapsed=76.3s
[hamroby-extract] step= 2750/15000 loss=0.1216 elapsed=77.8s
[hamroby-extract] step= 2800/15000 loss=0.1119 elapsed=79.3s
[hamroby-extract] step= 2850/15000 loss=0.1091 elapsed=81.0s
[hamroby-extract] step= 2900/15000 loss=0.1135 elapsed=82.4s
[hamroby-extract] step= 2950/15000 loss=0.1116 elapsed=83.8s
[hamroby-extract] step= 3000/15000 loss=0.1184 elapsed=85.0s
[hamroby-extract] step= 3050/15000 loss=0.1134 elapsed=86.2s
[hamroby-extract] step= 3100/15000 loss=0.1141 elapsed=87.4s
[hamroby-extract] step= 3150/15000 loss=0.1290 elapsed=88.6s
[hamroby-extract] step= 3200/15000 loss=0.1069 elapsed=89.9s
[hamroby-extract] step= 3250/15000 loss=0.1033 elapsed=91.1s
[hamroby-extract] step= 3300/15000 loss=0.1022 elapsed=92.5s
[hamroby-extract] step= 3350/15000 loss=0.1160 elapsed=94.1s
[hamroby-extract] step= 3400/15000 loss=0.1104 elapsed=95.7s
[hamroby-extract] step= 3450/15000 loss=0.1063 elapsed=97.3s
[hamroby-extract] step= 3500/15000 loss=0.1111 elapsed=98.7s
[hamroby-extract] step= 3550/15000 loss=0.1020 elapsed=100.1s
[hamroby-extract] step= 3600/15000 loss=0.1154 elapsed=101.7s
[hamroby-extract] step= 3650/15000 loss=0.1149 elapsed=103.0s
[hamroby-extract] step= 3700/15000 loss=0.1086 elapsed=104.3s
[hamroby-extract] step= 3750/15000 loss=0.1094 elapsed=105.5s
[hamroby-extract] step= 3800/15000 loss=0.1077 elapsed=106.7s
[hamroby-extract] step= 3850/15000 loss=0.1062 elapsed=107.9s
[hamroby-extract] step= 3900/15000 loss=0.1102 elapsed=109.1s
[hamroby-extract] step= 3950/15000 loss=0.1102 elapsed=110.5s
[hamroby-extract] step= 4000/15000 loss=0.1065 elapsed=111.9s
[hamroby-extract] step= 4050/15000 loss=0.1062 elapsed=113.3s
[hamroby-extract] step= 4100/15000 loss=0.1129 elapsed=114.9s
[hamroby-extract] step= 4150/15000 loss=0.0965 elapsed=116.5s
[hamroby-extract] step= 4200/15000 loss=0.1000 elapsed=118.2s
[hamroby-extract] step= 4250/15000 loss=0.1053 elapsed=119.7s
[hamroby-extract] step= 4300/15000 loss=0.0922 elapsed=121.0s
[hamroby-extract] step= 4350/15000 loss=0.1142 elapsed=122.4s
[hamroby-extract] step= 4400/15000 loss=0.1095 elapsed=123.7s
[hamroby-extract] step= 4450/15000 loss=0.1096 elapsed=124.9s
[hamroby-extract] step= 4500/15000 loss=0.1011 elapsed=126.2s
[hamroby-extract] step= 4550/15000 loss=0.1040 elapsed=127.4s
[hamroby-extract] step= 4600/15000 loss=0.0971 elapsed=129.0s
[hamroby-extract] step= 4650/15000 loss=0.1055 elapsed=130.7s
[hamroby-extract] step= 4700/15000 loss=0.1088 elapsed=132.3s
[hamroby-extract] step= 4750/15000 loss=0.1130 elapsed=134.1s
[hamroby-extract] step= 4800/15000 loss=0.0980 elapsed=135.7s
[hamroby-extract] step= 4850/15000 loss=0.1123 elapsed=137.2s
[hamroby-extract] step= 4900/15000 loss=0.1155 elapsed=138.4s
[hamroby-extract] step= 4950/15000 loss=0.1106 elapsed=139.7s
[hamroby-extract] step= 5000/15000 loss=0.1137 elapsed=140.8s
[hamroby-extract] step= 5050/15000 loss=0.1034 elapsed=142.1s
[hamroby-extract] step= 5100/15000 loss=0.1048 elapsed=143.9s
[hamroby-extract] step= 5150/15000 loss=0.0973 elapsed=145.7s
[hamroby-extract] step= 5200/15000 loss=0.1001 elapsed=147.5s
[hamroby-extract] step= 5250/15000 loss=0.0996 elapsed=149.1s
[hamroby-extract] step= 5300/15000 loss=0.1191 elapsed=150.6s
[hamroby-extract] step= 5350/15000 loss=0.0946 elapsed=152.0s
[hamroby-extract] step= 5400/15000 loss=0.1057 elapsed=153.3s
[hamroby-extract] step= 5450/15000 loss=0.0983 elapsed=154.7s
[hamroby-extract] step= 5500/15000 loss=0.0974 elapsed=156.0s
[hamroby-extract] step= 5550/15000 loss=0.1004 elapsed=157.3s
[hamroby-extract] step= 5600/15000 loss=0.1078 elapsed=158.5s
[hamroby-extract] step= 5650/15000 loss=0.0978 elapsed=159.7s
[hamroby-extract] step= 5700/15000 loss=0.0977 elapsed=161.0s
[hamroby-extract] step= 5750/15000 loss=0.0948 elapsed=162.3s
[hamroby-extract] step= 5800/15000 loss=0.0975 elapsed=163.7s
[hamroby-extract] step= 5850/15000 loss=0.1012 elapsed=165.1s
[hamroby-extract] step= 5900/15000 loss=0.1076 elapsed=166.5s
[hamroby-extract] step= 5950/15000 loss=0.1013 elapsed=167.8s
[hamroby-extract] step= 6000/15000 loss=0.0983 elapsed=169.4s
[hamroby-extract] step= 6050/15000 loss=0.1062 elapsed=170.9s
[hamroby-extract] step= 6100/15000 loss=0.1071 elapsed=172.7s
[hamroby-extract] step= 6150/15000 loss=0.1053 elapsed=174.3s
[hamroby-extract] step= 6200/15000 loss=0.1056 elapsed=175.6s
[hamroby-extract] step= 6250/15000 loss=0.0969 elapsed=177.0s
[hamroby-extract] step= 6300/15000 loss=0.0923 elapsed=178.5s
[hamroby-extract] step= 6350/15000 loss=0.0965 elapsed=180.1s
[hamroby-extract] step= 6400/15000 loss=0.1047 elapsed=181.4s
[hamroby-extract] step= 6450/15000 loss=0.1078 elapsed=182.9s
[hamroby-extract] step= 6500/15000 loss=0.0955 elapsed=184.3s
[hamroby-extract] step= 6550/15000 loss=0.1011 elapsed=185.5s
[hamroby-extract] step= 6600/15000 loss=0.0948 elapsed=186.9s
[hamroby-extract] step= 6650/15000 loss=0.0936 elapsed=188.2s
[hamroby-extract] step= 6700/15000 loss=0.0962 elapsed=189.6s
[hamroby-extract] step= 6750/15000 loss=0.1085 elapsed=191.1s
[hamroby-extract] step= 6800/15000 loss=0.1000 elapsed=192.5s
[hamroby-extract] step= 6850/15000 loss=0.0924 elapsed=193.8s
[hamroby-extract] step= 6900/15000 loss=0.0947 elapsed=195.3s
[hamroby-extract] step= 6950/15000 loss=0.1031 elapsed=196.6s
[hamroby-extract] step= 7000/15000 loss=0.1064 elapsed=197.9s
[hamroby-extract] step= 7050/15000 loss=0.0978 elapsed=199.3s
[hamroby-extract] step= 7100/15000 loss=0.1029 elapsed=200.6s
[hamroby-extract] step= 7150/15000 loss=0.1031 elapsed=201.9s
[hamroby-extract] step= 7200/15000 loss=0.1014 elapsed=203.3s
[hamroby-extract] step= 7250/15000 loss=0.1001 elapsed=204.6s
[hamroby-extract] step= 7300/15000 loss=0.0903 elapsed=206.1s
[hamroby-extract] step= 7350/15000 loss=0.0925 elapsed=207.5s
[hamroby-extract] step= 7400/15000 loss=0.0947 elapsed=209.1s
[hamroby-extract] step= 7450/15000 loss=0.1056 elapsed=210.6s
[hamroby-extract] step= 7500/15000 loss=0.0997 elapsed=212.3s
[hamroby-extract] step= 7550/15000 loss=0.1073 elapsed=213.8s
